"filename", "language", "YAML", "Markdown", "JSON", "HTML", "MS SQL", "TypeScript", "JSON with Comments", "Docker", "TypeScript JSX", "XML", "PostCSS", "JavaScript", "Properties", "comment", "blank", "total"
"/Users/pedroottoni/ibiferti/backend/src/services/tabelasAdubacaoGraos.ts", "TypeScript", 0, 0, 0, 0, 0, 244, 0, 0, 0, 0, 0, 0, 0, 8, 24, 276
"/Users/pedroottoni/ibiferti/backend/src/services/warnings.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"/Users/pedroottoni/ibiferti/backend/src/services/warningsAdubacao.ts", "TypeScript", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 4, 9, 78
"/Users/pedroottoni/ibiferti/backend/src/utils/adubacao.test.ts", "TypeScript", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 11, 69
"/Users/pedroottoni/ibiferti/backend/src/utils/calagem.test.ts", "TypeScript", 0, 0, 0, 0, 0, 277, 0, 0, 0, 0, 0, 0, 0, 0, 43, 320
"/Users/pedroottoni/ibiferti/backend/test_insert.ts", "TypeScript", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"/Users/pedroottoni/ibiferti/backend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
"/Users/pedroottoni/ibiferti/docker-compose.prod.yml", "YAML", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 58
"/Users/pedroottoni/ibiferti/docker-compose.yml", "YAML", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"/Users/pedroottoni/ibiferti/extracao_funcoes_sql.md", "Markdown", 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 199
"/Users/pedroottoni/ibiferti/frontend/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 4, 5, 16
"/Users/pedroottoni/ibiferti/frontend/README.md", "Markdown", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 74
"/Users/pedroottoni/ibiferti/frontend/eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 24
"/Users/pedroottoni/ibiferti/frontend/index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/pedroottoni/ibiferti/frontend/nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 5, 6, 40
"/Users/pedroottoni/ibiferti/frontend/package-lock.json", "JSON", 0, 0, 4670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4671
"/Users/pedroottoni/ibiferti/frontend/package.json", "JSON", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"/Users/pedroottoni/ibiferti/frontend/public/favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/pedroottoni/ibiferti/frontend/public/favicon2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"/Users/pedroottoni/ibiferti/frontend/public/icons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"/Users/pedroottoni/ibiferti/frontend/src/App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/pedroottoni/ibiferti/frontend/src/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 10, 8, 72
"/Users/pedroottoni/ibiferti/frontend/src/assets/react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/pedroottoni/ibiferti/frontend/src/assets/vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/pedroottoni/ibiferti/frontend/src/components/Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"/Users/pedroottoni/ibiferti/frontend/src/components/ModalDetalhesAnalise.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 5, 12, 178
"/Users/pedroottoni/ibiferti/frontend/src/components/Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 3, 5, 94
"/Users/pedroottoni/ibiferti/frontend/src/components/ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 10, 6, 39
"/Users/pedroottoni/ibiferti/frontend/src/contexts/AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 18, 29, 133
"/Users/pedroottoni/ibiferti/frontend/src/index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
