Date : 2026-07-08 15:38:03
Directory : /Users/pedroottoni/ibiferti
Total : 99 files,  27790 codes, 426 comments, 1599 blanks, all 29815 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/pedroottoni/ibiferti/frontend/src/index.css                           | PostCSS            |          1 |          0 |          0 |          1 |
| /Users/pedroottoni/ibiferti/frontend/src/layouts/DashboardLayout.tsx         | TypeScript JSX     |         84 |         12 |         11 |        107 |
| /Users/pedroottoni/ibiferti/frontend/src/layouts/PublicLayout.tsx            | TypeScript JSX     |         12 |          5 |          3 |         20 |
| /Users/pedroottoni/ibiferti/frontend/src/main.tsx                            | TypeScript JSX     |          9 |          0 |          1 |         10 |
| /Users/pedroottoni/ibiferti/frontend/src/pages/AdminAnalisesPage.tsx         | TypeScript JSX     |        172 |          9 |         21 |        202 |
| /Users/pedroottoni/ibiferti/frontend/src/pages/AdminDashboardPage.tsx        | TypeScript JSX     |        210 |          8 |         19 |        237 |
| /Users/pedroottoni/ibiferti/frontend/src/pages/AdminUsersPage.tsx            | TypeScript JSX     |        343 |          4 |         24 |        371 |
| /Users/pedroottoni/ibiferti/frontend/src/pages/AdubacaoPage.tsx              | TypeScript JSX     |        348 |          2 |         34 |        384 |
| /Users/pedroottoni/ibiferti/frontend/src/pages/CalculadoraPage.tsx           | TypeScript JSX     |        896 |         40 |         66 |      1,002 |
| /Users/pedroottoni/ibiferti/frontend/src/pages/FazendasPage.tsx              | TypeScript JSX     |        349 |         11 |         29 |        389 |
| /Users/pedroottoni/ibiferti/frontend/src/pages/HistoricoAnalisesPage.tsx     | TypeScript JSX     |        243 |         17 |         29 |        289 |
| /Users/pedroottoni/ibiferti/frontend/src/pages/LoginPage.tsx                 | TypeScript JSX     |        124 |         11 |         17 |        152 |
| /Users/pedroottoni/ibiferti/frontend/src/pages/MonitoramentoPage.tsx         | TypeScript JSX     |        254 |          8 |         23 |        285 |
| /Users/pedroottoni/ibiferti/frontend/src/pages/NovaAnalisePage.tsx           | TypeScript JSX     |        338 |         16 |         32 |        386 |
| /Users/pedroottoni/ibiferti/frontend/src/pages/RegisterPage.tsx              | TypeScript JSX     |        227 |         16 |         22 |        265 |
| /Users/pedroottoni/ibiferti/frontend/src/pages/TalhaoDetalhesPage.tsx        | TypeScript JSX     |        184 |         34 |         19 |        237 |
| /Users/pedroottoni/ibiferti/frontend/src/pages/ValidacaoAgronomicaPage.tsx   | TypeScript JSX     |        307 |          8 |         22 |        337 |
| /Users/pedroottoni/ibiferti/frontend/src/schemas/adubacaoSchema.ts           | TypeScript         |         74 |          6 |          6 |         86 |
| /Users/pedroottoni/ibiferti/frontend/src/schemas/calagemSchema.ts            | TypeScript         |        207 |          0 |         30 |        237 |
| /Users/pedroottoni/ibiferti/frontend/src/services/api.ts                     | TypeScript         |        161 |          6 |         34 |        201 |
| /Users/pedroottoni/ibiferti/frontend/src/services/ibge.ts                    | TypeScript         |         23 |          0 |          3 |         26 |
| /Users/pedroottoni/ibiferti/frontend/src/services/pdfGenerator.ts            | TypeScript         |        372 |          0 |         41 |        413 |
| /Users/pedroottoni/ibiferti/frontend/src/services/pdfGeneratorAdubacao.ts    | TypeScript         |        122 |          6 |         21 |        149 |
| /Users/pedroottoni/ibiferti/frontend/tailwind.config.js                      | JavaScript         |         10 |          1 |          0 |         11 |
| /Users/pedroottoni/ibiferti/frontend/tsconfig.app.json                       | JSON               |         21 |          2 |          3 |         26 |
| /Users/pedroottoni/ibiferti/frontend/tsconfig.json                           | JSON with Comments |          7 |          0 |          1 |          8 |
| /Users/pedroottoni/ibiferti/frontend/tsconfig.node.json                      | JSON               |         20 |          2 |          3 |         25 |
| /Users/pedroottoni/ibiferti/frontend/vite.config.ts                          | TypeScript         |         22 |          2 |          1 |         25 |
| /Users/pedroottoni/ibiferti/package-lock.json                                | JSON               |        937 |          0 |          1 |        938 |
| /Users/pedroottoni/ibiferti/package.json                                     | JSON               |         15 |          0 |          1 |         16 |
| /Users/pedroottoni/ibiferti/plano_implementacao_adubacao.md                  | Markdown           |         57 |          0 |         18 |         75 |
| /Users/pedroottoni/ibiferti/regras_calagem_graos_v2.md                       | Markdown           |        489 |          0 |        150 |        639 |
| /Users/pedroottoni/ibiferti/revisao.md                                       | Markdown           |         71 |          0 |         12 |         83 |
| Total                                                                        |                    |     27,790 |        426 |      1,599 |     29,815 |
+------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
